Experiment,Type,Webapp,Browser,CPU,Memory,Energy
5,With,speedtest-net,chrome,37.44482759,1337051.621,118.4283353
6,With,speedtest-net,chrome,15.42962963,1336715.37,124.8113368
7,With,speedtest-net,chrome,26.50357143,1348041.821,120.213492
8,With,speedtest-net,chrome,51.504,1358240.8,128.6022427
9,With,speedtest-net,chrome,13.18148148,1373902.963,124.3475472
10,With,speedtest-net,chrome,34.88888889,1371451.889,119.8001791
1,With,speedtest-net,firefox,59.99230769,1279026.231,213.1432064
2,With,speedtest-net,firefox,61.8,1283145.96,201.0681201
3,With,speedtest-net,firefox,64.54,1257961.68,202.9896356
4,With,speedtest-net,firefox,67.20434783,1304049.043,200.7681212
5,With,speedtest-net,firefox,69.55833333,1294889.583,201.6388627
6,With,speedtest-net,firefox,63.56956522,1299054.609,197.2563962
7,With,speedtest-net,firefox,67.17272727,1308255,195.4375939
8,With,speedtest-net,firefox,64.76521739,1279655.522,192.4072199
9,With,speedtest-net,firefox,63.88695652,1291497.696,201.3347916
10,With,speedtest-net,firefox,67.62608696,1271405.087,198.9159671
1,Without,accuweather,chrome,19.73571429,1244508.167,85.81570745
2,Without,accuweather,chrome,19.46363636,1222273.818,77.42781087
3,Without,accuweather,chrome,21.38095238,1230103.762,74.8966705
4,Without,accuweather,chrome,26.39534884,1226185,75.08312064
5,Without,accuweather,chrome,22.33255814,1228412.605,73.57845396
6,Without,accuweather,chrome,20.86,1267218.75,69.25675189
7,Without,accuweather,chrome,26.92045455,1245748.25,69.6684348
8,Without,accuweather,chrome,26.01463415,1249249.195,70.28198101
9,Without,accuweather,chrome,19.685,1240389.8,69.60056036
10,Without,accuweather,chrome,26.225,1238940.568,71.46242379
1,Without,accuweather,firefox,30.41052632,1251171.289,96.16278361
2,Without,accuweather,firefox,25.73902439,1242118.951,94.73754826
3,Without,accuweather,firefox,22.56857143,1255292.943,79.69546089
4,Without,accuweather,firefox,23.72702703,1254563.919,78.10090664
5,Without,accuweather,firefox,19.59444444,1261927.222,77.99408954
6,Without,accuweather,firefox,10.9,1262595.256,76.09243477
7,Without,accuweather,firefox,17.07567568,1267740.541,76.3537203
8,Without,accuweather,firefox,11.26216216,1273283.378,71.69720013
9,Without,accuweather,firefox,11.4,1291272.182,76.60534187
10,Without,accuweather,firefox,14.3972973,1270572.622,71.20272309
1,Without,bbc,chrome,16.44791667,1194756.188,91.62016571
2,Without,bbc,chrome,21.91333333,1188718.422,80.28174629
3,Without,bbc,chrome,25.08095238,1194230.071,74.38785603
4,Without,bbc,chrome,14.62954545,1193317.955,76.24168637
5,Without,bbc,chrome,24.87954545,1193320.841,78.44650861
