"Experiment","Type","Webapps name","Browser","CPU","Memory","Energy consumption"
10,"WithoutAdsAnalytics","https-www-science-org","firefox","17.5785714285714","1421641.69047619","87.9890111375"
1,"WithoutAdsAnalytics","https-www-speedtest-net","chrome","31.553125","1257821.1875","116.707003021"
2,"WithoutAdsAnalytics","https-www-speedtest-net","chrome","28.7147058823529","1250076.58823529","107.033324314"
3,"WithoutAdsAnalytics","https-www-speedtest-net","chrome","23.4857142857143","1230959.28571429","102.429259679"
4,"WithoutAdsAnalytics","https-www-speedtest-net","chrome","30.571875","1219880.59375","97.885579302"
5,"WithoutAdsAnalytics","https-www-speedtest-net","chrome","34.9612903225806","1229572.80645161","99.1604824395"
6,"WithoutAdsAnalytics","https-www-speedtest-net","chrome","27.4342857142857","1229045.85714286","100.6971523505"
7,"WithoutAdsAnalytics","https-www-speedtest-net","chrome","28.3147058823529","1227453.82352941","98.364302246"
8,"WithoutAdsAnalytics","https-www-speedtest-net","chrome","42.340625","1228495.6875","99.795085637"
9,"WithoutAdsAnalytics","https-www-speedtest-net","chrome","24.1057142857143","1223465.11428571","98.479571968"
10,"WithoutAdsAnalytics","https-www-speedtest-net","chrome","35.696875","1235483.5625","97.1680352015"
1,"WithoutAdsAnalytics","https-www-speedtest-net","firefox","32.9435897435897","1259961.48717949","236.4936766815"
2,"WithoutAdsAnalytics","https-www-speedtest-net","firefox","35.4333333333333","1243341.51515152","207.3286789265"
3,"WithoutAdsAnalytics","https-www-speedtest-net","firefox","31.8466666666667","1248113.56666667","201.537094024"
4,"WithoutAdsAnalytics","https-www-speedtest-net","firefox","21.2931034482759","1250054","204.5648497175"
5,"WithoutAdsAnalytics","https-www-speedtest-net","firefox","35.43","1248869.3","203.2469664995"
6,"WithoutAdsAnalytics","https-www-speedtest-net","firefox","45.6222222222222","1244242.74074074","206.9932358175"
7,"WithoutAdsAnalytics","https-www-speedtest-net","firefox","43.4724137931034","1240289.24137931","198.129014273"
8,"WithoutAdsAnalytics","https-www-speedtest-net","firefox","58.3285714285714","1244332.42857143","206.882508629"
9,"WithoutAdsAnalytics","https-www-speedtest-net","firefox","61.9074074074074","1261227.74074074","193.43260695"
10,"WithoutAdsAnalytics","https-www-speedtest-net","firefox","58.9241379310345","1253848.89655172","190.753170039"
